#SecurityName;Volatility;InitialPrice;Supply
#Note: In game currency is supposed to be American Dollars. Unicode-heavy.
#https://www1.oanda.com/currency/converter/ 2020-06-15
EUR €;10;1126;2000000000
GBP £;10;1254;2000000000
CHF ₣;5;100;2000000000
CAD CA$;10;736;2000000000
AUD AU$;10;686;2000000000
CZK Kč;10;42;2000000000
JPY ¥;10;9;2000000000
RUB ₽;10;14;2000000000
ZWL Z$;1;3;2000000000
CNH RMB;10;141;2000000000
VES;0;0;2000000000
KRW ₩;10;1;2000000000
KPW NK₩;10;7;2000000000
PLN zł;10;253;2000000000
INR ₹;10;13;2000000000
HUF;5;100;2000000000
BTC ₿;100;9435;2000000000
