#SecurityName;Volatility;InitialPrice;Supply
Air Product & Chemical;7;100;1000
Amazon;5;1830;1000
AMD;4;55;1000
Apple;7;229;1000
Boeing;15;95;1000
Coca-Cola;10;30;1000
DuPont;15;55;1000
Facebook;5;149;1000
General Electric;4;7;1000
Google;5;1115;1000
Intel;5;46;1000
IBM;5;95;1000
McDonald's;4;148;1000
Microsoft;5;137;1000
Nike;5;67;1000
nVidia;7;205;1000
Oracle;4;46;1000
Pepsi Co.;10;104;1000
Procter & Gamble;7;102;1000
Starbucks;5;58;1000
Tiffany & Co.;4;125;1000
VISA;7;146;1000
Walt Disney;10;86;1000
